,日期,未加收益总额,当天收益,增加收益总额
180,20160730.0,2500.0,0.0,2500.0
181,20160731.0,2500.0,0.0,2500.0
182,20160801.0,2500.0,0.0,2500.0
183,20160802.0,2500.0,0.0,2500.0
184,20160803.0,2500.0,0.0,2500.0
185,20160804.0,2500.0,0.0,2500.0
186,20160805.0,2500.0,0.0,2500.0
187,20160806.0,2500.0,0.0,2500.0
188,20160807.0,2500.0,0.0,2500.0
189,20160808.0,2500.0,0.0,2500.0
190,20160809.0,2500.0,0.0,2500.0
191,20160810.0,2500.0,0.0,2500.0
192,20160811.0,2500.0,0.0,2500.0
193,20160812.0,2500.0,0.0,2500.0
194,20160813.0,2500.0,0.0,2500.0
195,20160814.0,2500.0,0.0,2500.0
196,20160815.0,2500.0,0.0,2500.0
197,20160816.0,2500.0,0.0,2500.0
198,20160817.0,2500.0,0.0,2500.0
199,20160818.0,2500.0,0.0,2500.0
200,20160819.0,2500.0,0.0,2500.0
201,20160820.0,2500.0,0.0,2500.0
202,20160821.0,2500.0,0.0,2500.0
203,20160822.0,2500.0,0.0,2500.0
204,20160823.0,2500.0,0.0,2500.0
205,20160824.0,2500.0,0.0,2500.0
206,20160825.0,2500.0,0.0,2500.0
207,20160826.0,2500.0,0.0,2500.0
208,20160827.0,2500.0,0.0,2500.0
209,20160828.0,2500.0,0.0,2500.0
210,20160829.0,2500.0,0.0,2500.0
211,20160830.0,2500.0,0.0,2500.0
212,20160831.0,2500.0,0.0,2500.0
213,20160901.0,2500.0,0.0,2500.0
214,20160902.0,2500.0,0.0,2500.0
215,20160903.0,2500.0,0.0,2500.0
216,20160904.0,2500.0,0.0,2500.0
217,20160905.0,2500.0,0.0,2500.0
218,20160906.0,2500.0,0.0,2500.0
219,20160907.0,2500.0,0.0,2500.0
220,20160908.0,2500.0,0.0,2500.0
221,20160909.0,2500.0,0.0,2500.0
222,20160910.0,2500.0,0.0,2500.0
223,20160911.0,2500.0,0.0,2500.0
224,20160912.0,2500.0,0.0,2500.0
225,20160913.0,2500.0,0.0,2500.0
226,20160914.0,2500.0,0.0,2500.0
227,20160915.0,2500.0,0.0,2500.0
228,20160916.0,2500.0,0.0,2500.0
229,20160917.0,2500.0,0.0,2500.0
230,20160918.0,2500.0,0.0,2500.0
231,20160919.0,2500.0,0.0,2500.0
232,20160920.0,2500.0,0.0,2500.0
233,20160921.0,2500.0,0.0,2500.0
234,20160922.0,2500.0,0.0,2500.0
235,20160923.0,2500.0,0.0,2500.0
236,20160924.0,2500.0,0.0,2500.0
237,20160925.0,2500.0,0.0,2500.0
238,20160926.0,2500.0,0.0,2500.0
239,20160927.0,2500.0,0.0,2500.0
240,20160928.0,2500.0,0.0,2500.0
241,20160929.0,2500.0,0.0,2500.0
242,20160930.0,2500.0,0.0,2500.0
243,20161001.0,2500.0,0.0,2500.0
244,20161002.0,2500.0,0.0,2500.0
245,20161003.0,2500.0,0.0,2500.0
246,20161004.0,2500.0,0.0,2500.0
247,20161005.0,2500.0,0.0,2500.0
248,20161006.0,2500.0,0.0,2500.0
249,20161007.0,2500.0,0.0,2500.0
250,20161008.0,2500.0,0.0,2500.0
251,20161009.0,2500.0,0.0,2500.0
252,20161010.0,2500.0,0.0,2500.0
253,20161011.0,2500.0,0.0,2500.0
254,20161012.0,2500.0,0.0,2500.0
255,20161013.0,2500.0,0.0,2500.0
256,20161014.0,2500.0,0.0,2500.0
257,20161015.0,2500.0,0.0,2500.0
258,20161016.0,5500.0,0.0,5500.0
259,20161017.0,5500.0,0.0,5500.0
260,20161018.0,5500.0,0.0,5500.0
261,20161019.0,5500.0,0.0,5500.0
262,20161020.0,5500.0,0.0,5500.0
263,20161021.0,5500.0,0.0,5500.0
264,20161022.0,5500.0,0.0,5500.0
265,20161023.0,5500.0,0.0,5500.0
266,20161024.0,5500.0,0.0,5500.0
267,20161025.0,5500.0,0.0,5500.0
268,20161026.0,5500.0,0.0,5500.0
269,20161027.0,5500.0,0.0,5500.0
270,20161028.0,5500.0,0.0,5500.0
271,20161029.0,5500.0,0.0,5500.0
272,20161030.0,5500.0,0.0,5500.0
273,20161031.0,5500.0,0.0,5500.0
274,20161101.0,5500.0,0.0,5500.0
275,20161102.0,5500.0,0.0,5500.0
276,20161103.0,5500.0,0.0,5500.0
277,20161104.0,5000.0,0.0,5000.0
278,20161105.0,5000.0,0.0,5000.0
279,20161106.0,5000.0,0.0,5000.0
280,20161107.0,5000.0,0.0,5000.0
281,20161108.0,5000.0,0.0,5000.0
282,20161109.0,5000.0,0.0,5000.0
283,20161110.0,3500.0,0.0,3500.0
284,20161111.0,3500.0,0.0,3500.0
285,20161112.0,3500.0,0.0,3500.0
286,20161113.0,3500.0,0.0,3500.0
287,20161114.0,3500.0,0.0,3500.0
288,20161115.0,3500.0,0.0,3500.0
289,20161116.0,3500.0,0.0,3500.0
290,20161117.0,3500.0,0.0,3500.0
291,20161118.0,3500.0,0.0,3500.0
292,20161119.0,3500.0,0.0,3500.0
293,20161120.0,3500.0,0.0,3500.0
294,20161121.0,3500.0,0.0,3500.0
295,20161122.0,3500.0,0.0,3500.0
296,20161123.0,3500.0,0.0,3500.0
297,20161124.0,3500.0,0.0,3500.0
298,20161125.0,3500.0,0.0,3500.0
299,20161126.0,3500.0,0.0,3500.0
300,20161127.0,3500.0,0.0,3500.0
301,20161128.0,3500.0,0.0,3500.0
302,20161129.0,3500.0,0.0,3500.0
303,20161130.0,3500.0,0.0,3500.0
304,20161201.0,3500.0,0.0,3500.0
305,20161202.0,3500.0,0.0,3500.0
306,20161203.0,3500.0,0.0,3500.0
307,20161204.0,3500.0,0.0,3500.0
308,20161205.0,3500.0,0.0,3500.0
309,20161206.0,3500.0,0.0,3500.0
310,20161207.0,3500.0,0.0,3500.0
311,20161208.0,3500.0,0.0,3500.0
312,20161209.0,3500.0,0.0,3500.0
313,20161210.0,3500.0,0.0,3500.0
314,20161211.0,3500.0,0.0,3500.0
315,20161212.0,3500.0,0.0,3500.0
316,20161213.0,3500.0,0.0,3500.0
317,20161214.0,7500.0,0.0,7500.0
318,20161215.0,7500.0,0.0,7500.0
319,20161216.0,3500.0,0.0,3500.0
320,20161217.0,3500.0,0.0,3500.0
321,20161218.0,3500.0,0.0,3500.0
322,20161219.0,3500.0,0.0,3500.0
323,20161220.0,3500.0,0.0,3500.0
324,20161221.0,3500.0,0.0,3500.0
325,20161222.0,3500.0,0.0,3500.0
326,20161223.0,3500.0,0.0,3500.0
327,20161224.0,3500.0,0.0,3500.0
328,20161225.0,3500.0,0.0,3500.0
329,20161226.0,3500.0,0.0,3500.0
330,20161227.0,3500.0,0.0,3500.0
331,20161228.0,3500.0,0.0,3500.0
332,20161229.0,3500.0,0.0,3500.0
333,20161230.0,3500.0,0.0,3500.0
334,20161231.0,3500.0,0.0,3500.0
335,20170101.0,3500.0,0.0,3500.0
336,20170102.0,3500.0,0.0,3500.0
337,20170103.0,3500.0,0.0,3500.0
338,20170104.0,3500.0,0.0,3500.0
339,20170105.0,3500.0,0.0,3500.0
340,20170106.0,3500.0,0.0,3500.0
341,20170107.0,3500.0,0.0,3500.0
342,20170108.0,3500.0,0.0,3500.0
343,20170109.0,3500.0,0.0,3500.0
344,20170110.0,3500.0,0.0,3500.0
345,20170111.0,3500.0,0.0,3500.0
346,20170112.0,3500.0,0.0,3500.0
347,20170113.0,3500.0,0.0,3500.0
348,20170114.0,3500.0,0.0,3500.0
349,20170115.0,3500.0,0.0,3500.0
350,20170116.0,3500.0,0.0,3500.0
351,20170117.0,3500.0,0.0,3500.0
352,20170118.0,3500.0,0.0,3500.0
353,20170119.0,3500.0,0.0,3500.0
354,20170120.0,3500.0,0.0,3500.0
355,20170121.0,3500.0,0.0,3500.0
356,20170122.0,3500.0,0.0,3500.0
357,20170123.0,3500.0,0.0,3500.0
358,20170124.0,3500.0,0.0,3500.0
359,20170125.0,2500.0,0.0,2500.0
360,20170126.0,2500.0,0.0,2500.0
361,20170127.0,2500.0,0.0,2500.0
362,20170128.0,2500.0,0.0,2500.0
363,20170129.0,2500.0,0.0,2500.0
364,20170130.0,2500.0,0.0,2500.0
365,20170131.0,2500.0,0.0,2500.0
366,20170201.0,2500.0,0.0,2500.0
367,20170202.0,2500.0,0.0,2500.0
368,20170203.0,2500.0,0.0,2500.0
369,20170204.0,2500.0,0.0,2500.0
370,20170205.0,2500.0,0.0,2500.0
371,20170206.0,2500.0,0.0,2500.0
372,20170207.0,2500.0,0.0,2500.0
373,20170208.0,2500.0,0.0,2500.0
374,20170209.0,2500.0,0.0,2500.0
